ID,TARGET
2,0.07675796
5,0.08235843
6,0.01224591
7,0.01521113
9,0.00821629
11,0.27009198
12,1.28069365e-12
15,0.24024393
16,0.00808053
17,0.10393345
19,0.03163059
21,0.00740631
22,0.01815165
24,0.0188491
27,0.0285916
28,0.00411423
30,0.04859919
33,0.00720753
35,0.02299426
37,0.04530428
38,0.0371611
40,0.20594247
41,0.03844809
44,0.00257815
46,0.11454321
47,0.02080711
48,0.00729697
50,0.0081198
52,0.15872428
53,0.01086243
55,0.03780186
57,0.00460943
58,0.00026328
59,0.02282021
62,0.09814873
63,0.0119578
64,0.02839849
65,0.04758718
67,0.01700059
69,0.09115492
70,0.00750782
71,0.00380974
72,0.00385329
73,0.00266769
76,0.0062903
78,0.00402899
79,0.05277612
81,0.00230978
85,0.01666564
86,0.00720806
89,0.03924254
94,0.11200678
96,0.00447948
97,0.03485425
98,0.00764173
99,0.021417
100,0.1317568
103,0.10065215
104,0.03649598
108,0.02272775
110,0.00377511
112,0.09158324
114,0.02531582
116,0.0054855
117,0.01862887
119,0.00392346
120,0.001217
121,0.01054319
123,0.03784395
124,0.04124198
126,0.00585478
128,0.01682734
129,0.0711159
133,0.05196178
138,0.05142842
147,0.03452854
149,0.03786593
158,0.00729665
160,0.01123198
164,0.06174251
167,0.11033742
168,0.00532961
174,0.01890456
181,0.02453986
185,0.068023
187,0.00439649
189,0.04152492
190,0.04576159
194,0.00296101
197,6.66378037e-05
198,0.03872352
201,0.05155299
205,0.02355536
208,0.06196185
211,0.02038108
216,0.03356142
219,0.05887394
223,0.01523914
224,0.17511703
226,0.02932966
229,0.02568687
230,0.04281561
237,0.05596374
238,0.03006209
240,0.12224639
243,0.00575404
245,0.18701556
246,0.23948966
247,0.03142314
248,0.00128949
249,0.00720756
250,0.27794731
251,0.00645761
255,0.11862987
256,0.04758756
257,0.1110162
260,0.1710927
261,0.00269425
263,0.24712987
264,0.17974804
267,0.01166946
268,0.03335224
272,0.05320557
274,0.06907689
275,0.0076029
277,0.33041385
278,0.3478719
280,0.00207245
281,0.0773157
282,0.08915827
283,0.01498706
284,0.03385236
286,0.01523545
290,6.10173103e-08
291,0.04929527
293,0.05402102
295,0.07558329
297,0.00561098
298,0.06042361
300,0.00169666
304,0.00099875
305,0.00184974
308,0.01245213
309,0.0106737
310,0.00424985
312,0.0501235
313,0.18581793
315,4.67322752e-06
317,0.10710523
318,0.04842466
321,0.01427708
323,0.04512111
325,0.02527755
326,0.0240352
327,0.01119241
328,0.00529168
329,0.05572242
330,0.01205809
331,0.03045826
334,0.02525609
335,0.01318966
336,0.07646462
337,0.00264864
338,0.03390124
339,0.02804527
341,0.00322659
343,1.08370483e-18
346,0.00949884
348,0.00843534
350,0.08580689
351,0.0014472
352,0.02034535
357,0.09068001
358,0.01195696
360,0.01861205
361,0.02058456
364,0.01801785
365,0.06311203
366,0.05903293
367,0.00688659
368,0.30695239
370,0.00563642
372,0.00325534
376,0.00460389
377,0.00874016
379,7.09878236e-07
380,0.01857318
381,0.05078015
385,0.02899051
386,0.04813707
389,0.07043817
391,0.07204466
392,0.02749937
393,0.01533944
395,0.05930153
396,0.01256375
397,0.00287411
398,0.00083292
399,0.01577103
400,0.00160735
401,0.06629656
403,0.01922201
405,0.07392049
406,0.02986853
409,0.01075007
411,0.02699281
413,0.0206487
418,1.87543410e-05
419,0.01530807
422,0.02034535
424,0.24688719
425,0.03110637
427,0.00447948
430,0.0070097
431,0.0274976
434,0.02484538
435,0.03244413
437,0.06294238
438,0.08251529
439,0.17389329
442,0.01195788
446,0.02125262
450,0.00784759
451,0.01137485
452,0.02511683
454,0.00721459
455,0.00098574
463,0.01703626
464,0.02434847
465,0.01172476
467,0.18040422
468,0.34983647
470,0.05530924
472,0.26063892
473,0.02881074
475,0.0024197
476,0.00881976
479,0.03156295
481,0.00052368
483,0.05859129
484,0.18732893
486,0.06855774
487,0.00905547
491,0.02290329
494,0.01441303
495,0.00950432
497,0.0291907
498,0.00015633
499,0.0157663
503,0.03727073
504,0.01306058
505,0.01080175
506,0.01490388
507,5.61577407e-09
508,0.18278225
509,0.04542545
510,7.09135658e-13
511,1.76805917e-13
512,0.05408462
516,0.01598022
518,0.07302006
519,0.02193261
520,0.04769966
521,0.01212682
522,0.00635248
524,0.11948387
525,0.00012626
526,0.003399
528,0.03118561
529,0.01369149
531,0.07449076
532,0.23185146
534,0.07706241
536,0.04202488
539,0.0782132
540,0.10507651
541,0.00720694
542,0.09036811
545,0.03419329
546,0.00763055
552,0.21173114
556,0.0079455
557,0.00357729
559,0.02418253
562,2.79515362e-08
563,0.00700122
565,0.93171829
569,0.01200683
570,0.06538009
574,0.06961552
575,0.01369298
585,0.01936375
589,0.00285297
590,0.01239249
592,0.02434028
593,0.05280573
594,0.02533836
595,0.01787376
597,0.00161838
601,0.01208229
603,0.02171654
604,0.00592756
605,0.05198502
607,0.007208
608,0.00245224
610,0.04003042
612,0.00040616
613,0.07256179
615,0.01795343
616,0.37354779
617,0.03899581
619,0.0486945
620,0.14486349
621,0.00614078
624,0.03306022
625,9.04113222e-07
628,0.00825834
629,0.12689853
630,0.02870581
632,0.00023372
634,0.0069391
637,0.00969398
638,0.04023908
642,0.05236873
643,0.00171096
644,0.05823902
646,0.00462499
655,7.85150860e-06
660,0.03098166
664,0.03496229
665,0.07738379
666,0.0070448
670,0.08886681
671,0.27813348
