ID,TARGET
2,0.0356886
5,0.04659058
6,0.00102546
7,0.00578202
9,0.00232141
11,0.2227163
12,4.47321847e-22
15,0.0932928
16,0.00242082
17,0.08109416
19,0.02175258
21,0.00215582
22,0.02159443
24,0.01102658
27,0.00238341
28,0.00416549
30,0.2980521
33,0.00236707
35,0.01275595
37,0.11622942
38,0.02250323
40,0.13864064
41,0.00884172
44,1.99373881e-06
46,0.18193752
47,0.00457399
48,0.00333978
50,0.00390695
52,0.11004951
53,0.00349351
55,0.01485614
57,0.00064456
58,5.12354348e-15
59,0.00623442
62,0.02245719
63,0.01072178
64,0.01761029
65,0.03341078
67,0.01380484
69,0.10197885
70,0.00236564
71,1.10194824e-16
72,0.00034189
73,4.13634694e-07
76,8.59991778e-05
78,0.00131825
79,0.00857326
81,0.00436421
85,0.01291239
86,0.00236769
89,0.02059591
94,0.05831765
96,0.00129591
97,0.03749508
98,0.00362197
99,0.0076805
100,0.07854787
103,0.08897567
104,0.01178419
108,0.00050709
110,0.00269305
112,0.04108196
114,0.00861998
116,0.0009002
117,0.00211305
119,0.00059188
120,0.0001939
121,0.0035482
123,0.1116835
124,0.02566167
126,0.00202879
128,0.01404546
129,0.04209513
133,0.02431013
138,0.02694963
147,0.01138051
149,0.00428707
158,0.00333925
160,0.00556976
164,0.06164587
167,0.10873431
168,0.0002527
174,0.00127802
181,0.00056145
185,0.03108927
187,0.00447643
189,0.00105943
190,0.10472056
194,0.0001198
197,3.98849852e-06
198,0.01481172
201,0.02674687
205,0.07890597
208,0.03928982
211,0.01381057
216,0.00938311
219,0.03878706
223,0.00088566
224,0.12143437
226,0.00933623
229,0.01644103
230,0.03381166
237,0.02729835
238,0.01198196
240,0.20770866
243,0.00233001
245,0.15302163
246,0.19272187
247,0.00194017
248,0.00198938
249,0.00236711
250,0.23663138
251,0.00220067
255,0.10303932
256,0.06764236
257,0.05733333
260,0.10410145
261,1.36475956e-06
263,0.18548238
264,0.12274791
267,0.01734216
268,0.00318408
272,0.00113272
274,0.00056189
275,0.00204895
277,0.23526874
278,0.25707307
280,5.15116262e-05
281,0.03442448
282,0.20948417
283,0.01078973
284,0.00053268
286,0.00426282
290,4.93275820e-06
291,0.02586326
293,0.0248287
295,0.02213946
297,0.00205764
298,0.05129015
300,1.18375681e-06
304,0.00800104
305,1.27349992e-07
308,0.00524035
309,0.00557472
310,0.00073552
312,0.02658848
313,0.12187421
315,2.80448376e-07
317,0.03796078
318,0.01518024
321,0.00244249
323,0.02106225
325,0.000661
326,0.0068646
327,0.01722411
328,2.95952373e-06
329,0.02863195
330,0.00750894
331,0.01873843
334,0.08487988
335,0.00381025
336,0.03829489
337,6.00545854e-06
338,0.01505887
339,0.00876346
341,0.13976811
343,0.
346,0.00013383
348,0.00355852
350,0.15011631
351,0.00025154
352,0.00499762
357,0.08217999
358,0.01072088
360,0.00284942
361,0.00510517
364,0.00653356
365,0.04159117
366,0.03673665
367,0.00063856
368,0.00124619
370,0.00410744
372,0.0008271
376,0.00133847
377,0.00528444
379,0.00280787
380,0.00423569
381,0.06789301
385,0.02350163
386,0.02114686
389,0.04242642
391,0.03902607
392,0.00643975
393,0.01172745
395,0.06000534
396,0.00303812
397,0.00039314
398,0.00218314
399,0.00438708
400,0.00032033
401,3.67307803e-05
403,0.00256458
405,0.05855871
406,0.02450549
409,0.00345429
411,0.01325916
413,0.00197685
418,7.70100294e-24
419,0.00177672
422,0.00499762
424,0.19567713
425,7.08460790e-10
427,0.00129591
430,0.00220988
431,0.00850281
434,0.0022459
435,0.0174081
437,0.05253993
438,1.57246802e-07
439,0.0962439
442,0.01072186
446,0.01189261
450,0.00012862
451,0.00208317
452,0.02066447
454,0.00160011
455,2.50603116e-05
463,0.00930526
464,0.01283488
465,0.00236367
467,0.10486818
468,0.0923394
470,0.03459662
472,0.30905983
473,0.00957737
475,0.00069864
476,0.0026753
479,0.0102126
481,1.16441624e-05
483,0.02707239
484,4.57457973e-05
486,0.03294842
487,0.00236305
491,0.01569278
494,0.00556795
495,0.00021203
497,4.72118118e-05
498,7.61733883e-13
499,0.01126809
503,0.01236307
504,0.00212352
505,0.00463106
506,2.62979910e-07
507,7.30989783e-11
508,0.10327137
509,0.01932597
510,5.02137576e-09
511,1.10762517e-06
512,0.08415625
516,0.00445634
518,0.03062721
519,0.00948156
520,0.03431331
521,0.00409901
522,3.59711094e-10
524,0.07335232
525,3.77172853e-08
526,0.00104537
528,0.01006345
529,0.00462422
531,0.08085556
532,0.18243328
534,0.01747564
536,0.02103903
539,0.07060351
540,0.02507869
541,0.00236639
542,0.05000639
545,0.02364294
546,0.00366245
552,0.05348907
556,0.00396319
557,0.00129651
559,0.01203758
562,6.91458126e-07
563,1.97739901e-05
565,0.00014016
569,0.00452024
570,0.05758951
574,0.02791637
575,0.00712173
585,0.00880691
589,0.00031001
590,0.00397272
592,0.00278562
593,0.03678404
594,0.00102745
595,0.00149012
597,1.31425849e-13
601,0.00031877
603,0.01058279
604,0.001307
605,0.02702439
607,0.00236762
